OBJECTID,pointid,grid_code,POINT_X,POINT_Y,POINT_Z
5510,5510,8,250418.8457,743040.8401,-89
5515,5515,8,250481.3457,743040.8401,-102
5516,5516,7,250493.8457,743040.8401,-106
5517,5517,7,250506.3457,743040.8401,-109
5525,5525,8,250606.3457,743040.8401,-110
5526,5526,8,250618.8457,743040.8401,-111
5527,5527,8,250631.3457,743040.8401,-112
5528,5528,8,250643.8457,743040.8401,-113
5529,5529,8,250656.3457,743040.8401,-114
5530,5530,8,250668.8457,743040.8401,-115
5531,5531,8,250681.3457,743040.8401,-117
5532,5532,8,250693.8457,743040.8401,-119
5533,5533,8,250706.3457,743040.8401,-120
5534,5534,8,250718.8457,743040.8401,-121
5535,5535,8,250731.3457,743040.8401,-122
5536,5536,8,250743.8457,743040.8401,-123
5537,5537,8,250756.3457,743040.8401,-124
5538,5538,8,250768.8457,743040.8401,-126
5539,5539,8,250781.3457,743040.8401,-128
5545,5545,7,250856.3457,743040.8401,-141
5550,5550,7,250918.8457,743040.8401,-148
5551,5551,7,250931.3457,743040.8401,-149
5552,5552,7,250943.8457,743040.8401,-150
5553,5553,7,250956.3457,743040.8401,-152
5583,5583,8,250393.8457,743028.3401,-83
5584,5584,8,250406.3457,743028.3401,-86
5585,5585,8,250418.8457,743028.3401,-89
5586,5586,8,250431.3457,743028.3401,-91
5587,5587,7,250443.8457,743028.3401,-94
5588,5588,8,250456.3457,743028.3401,-97
5589,5589,7,250468.8457,743028.3401,-100
5591,5591,7,250493.8457,743028.3401,-106
5600,5600,8,250606.3457,743028.3401,-108
5601,5601,8,250618.8457,743028.3401,-109
5602,5602,8,250631.3457,743028.3401,-110
5603,5603,8,250643.8457,743028.3401,-112
5604,5604,8,250656.3457,743028.3401,-113
5606,5606,8,250681.3457,743028.3401,-116
5607,5607,8,250693.8457,743028.3401,-118
5608,5608,8,250706.3457,743028.3401,-119
5609,5609,8,250718.8457,743028.3401,-120
5610,5610,8,250731.3457,743028.3401,-121
5611,5611,8,250743.8457,743028.3401,-122
5612,5612,8,250756.3457,743028.3401,-123
5613,5613,8,250768.8457,743028.3401,-125
5614,5614,8,250781.3457,743028.3401,-127
5615,5615,8,250793.8457,743028.3401,-130
5616,5616,8,250806.3457,743028.3401,-132
5621,5621,7,250868.8457,743028.3401,-142
5628,5628,7,250956.3457,743028.3401,-151
5629,5629,7,250968.8457,743028.3401,-152
5659,5659,8,250406.3457,743015.8401,-86
5660,5660,8,250418.8457,743015.8401,-89
5661,5661,8,250431.3457,743015.8401,-91
5662,5662,8,250443.8457,743015.8401,-94
5663,5663,8,250456.3457,743015.8401,-97
5664,5664,8,250468.8457,743015.8401,-100
5665,5665,8,250481.3457,743015.8401,-103
5674,5674,7,250593.8457,743015.8401,-106
5675,5675,7,250606.3457,743015.8401,-107
5677,5677,7,250631.3457,743015.8401,-110
5678,5678,8,250643.8457,743015.8401,-111
5680,5680,8,250668.8457,743015.8401,-114
5686,5686,8,250743.8457,743015.8401,-121
5688,5688,8,250768.8457,743015.8401,-124
5690,5690,8,250793.8457,743015.8401,-129
5691,5691,8,250806.3457,743015.8401,-131
5692,5692,8,250818.8457,743015.8401,-133
5694,5694,7,250843.8457,743015.8401,-138
5695,5695,7,250856.3457,743015.8401,-140
5697,5697,7,250881.3457,743015.8401,-143
5699,5699,7,250906.3457,743015.8401,-146
5700,5700,7,250918.8457,743015.8401,-147
5701,5701,7,250931.3457,743015.8401,-148
5702,5702,7,250943.8457,743015.8401,-149
5703,5703,7,250956.3457,743015.8401,-150
5736,5736,8,250418.8457,743003.3401,-89
5737,5737,8,250431.3457,743003.3401,-91
5738,5738,8,250443.8457,743003.3401,-94
5739,5739,8,250456.3457,743003.3401,-97
5740,5740,8,250468.8457,743003.3401,-100
5741,5741,7,250481.3457,743003.3401,-102
5750,5750,7,250593.8457,743003.3401,-105
5751,5751,8,250606.3457,743003.3401,-106
5755,5755,8,250656.3457,743003.3401,-112
5764,5764,8,250768.8457,743003.3401,-124
