OBJECTID,pointid,grid_code,POINT_X,POINT_Y,POINT_Z
198,198,13,223287.318359375000000,632580.043334960937500,787.000000000000000
199,199,14,223299.737548828125000,632580.043334960937500,789.000000000000000
200,200,14,223312.156738281250000,632580.043334960937500,791.000000000000000
201,201,14,223324.575927734375000,632580.043334960937500,793.000000000000000
202,202,15,223336.995239257812500,632580.043334960937500,795.000000000000000
203,203,16,223349.414428710937500,632580.043334960937500,797.000000000000000
204,204,16,223361.833618164062500,632580.043334960937500,799.000000000000000
205,205,16,223374.252929687500000,632580.043334960937500,801.000000000000000
206,206,15,223386.672119140625000,632580.043334960937500,803.000000000000000
207,207,16,223399.091430664062500,632580.043334960937500,805.000000000000000
208,208,16,223411.510620117187500,632580.043334960937500,807.000000000000000
209,209,3,222778.130371093750000,632567.566040039062500,734.000000000000000
210,210,4,222790.549560546875000,632567.566040039062500,736.000000000000000
211,211,5,222802.968872070312500,632567.566040039062500,738.000000000000000
212,212,5,222815.388061523437500,632567.566040039062500,739.000000000000000
213,213,6,222827.807250976562500,632567.566040039062500,741.000000000000000
214,214,6,222840.226440429687500,632567.566040039062500,742.000000000000000
215,215,7,222852.645629882812500,632567.566040039062500,743.000000000000000
216,216,7,222865.064941406250000,632567.566040039062500,744.000000000000000
217,217,7,222877.484130859375000,632567.566040039062500,745.000000000000000
218,218,11,222889.903320312500000,632567.566040039062500,747.000000000000000
219,219,13,222902.322509765625000,632567.566040039062500,750.000000000000000
220,220,17,222914.741699218750000,632567.566040039062500,752.000000000000000
221,221,20,222927.161010742187500,632567.566040039062500,753.000000000000000
222,222,20,222939.580200195312500,632567.566040039062500,754.000000000000000
223,223,21,222951.999511718750000,632567.566040039062500,755.000000000000000
224,224,21,222964.418701171875000,632567.566040039062500,756.000000000000000
225,225,21,222976.837890625000000,632567.566040039062500,757.000000000000000
226,226,19,222989.257080078125000,632567.566040039062500,758.000000000000000
227,227,19,223001.676391601562500,632567.566040039062500,759.000000000000000
228,228,17,223014.095581054687500,632567.566040039062500,759.000000000000000
229,229,20,223026.514770507812500,632567.566040039062500,760.000000000000000
230,230,16,223038.933959960937500,632567.566040039062500,762.000000000000000
231,231,17,223051.353149414062500,632567.566040039062500,764.000000000000000
232,232,13,223063.772460937500000,632567.566040039062500,765.000000000000000
233,233,16,223076.191650390625000,632567.566040039062500,767.000000000000000
234,234,17,223088.610839843750000,632567.566040039062500,768.000000000000000
235,235,14,223101.030029296875000,632567.566040039062500,768.000000000000000
236,236,12,223113.449218750000000,632567.566040039062500,768.000000000000000
237,237,11,223125.868530273437500,632567.566040039062500,769.000000000000000
238,238,12,223138.287719726562500,632567.566040039062500,770.000000000000000
239,239,11,223150.706909179687500,632567.566040039062500,771.000000000000000
240,240,9,223163.126220703125000,632567.566040039062500,772.000000000000000
241,241,11,223175.545410156250000,632567.566040039062500,774.000000000000000
242,242,12,223187.964599609375000,632567.566040039062500,776.000000000000000
243,243,12,223200.383911132812500,632567.566040039062500,777.000000000000000
244,244,12,223212.803100585937500,632567.566040039062500,779.000000000000000
245,245,12,223225.222290039062500,632567.566040039062500,780.000000000000000
246,246,12,223237.641479492187500,632567.566040039062500,781.000000000000000
247,247,12,223250.060668945312500,632567.566040039062500,782.000000000000000
248,248,12,223262.479980468750000,632567.566040039062500,783.000000000000000
249,249,12,223274.899169921875000,632567.566040039062500,784.000000000000000
250,250,12,223287.318359375000000,632567.566040039062500,786.000000000000000
251,251,12,223299.737548828125000,632567.566040039062500,788.000000000000000
252,252,12,223312.156738281250000,632567.566040039062500,790.000000000000000
253,253,14,223324.575927734375000,632567.566040039062500,792.000000000000000
254,254,14,223336.995239257812500,632567.566040039062500,794.000000000000000
255,255,14,223349.414428710937500,632567.566040039062500,796.000000000000000
256,256,14,223361.833618164062500,632567.566040039062500,798.000000000000000
257,257,14,223374.252929687500000,632567.566040039062500,799.000000000000000
258,258,14,223386.672119140625000,632567.566040039062500,801.000000000000000
259,259,14,223399.091430664062500,632567.566040039062500,804.000000000000000
260,260,15,223411.510620117187500,632567.566040039062500,806.000000000000000
261,261,3,222778.130371093750000,632555.088867187500000,736.000000000000000
262,262,5,222790.549560546875000,632555.088867187500000,738.000000000000000
263,263,5,222802.968872070312500,632555.088867187500000,740.000000000000000
264,264,6,222815.388061523437500,632555.088867187500000,741.000000000000000
265,265,6,222827.807250976562500,632555.088867187500000,743.000000000000000
266,266,8,222840.226440429687500,632555.088867187500000,744.000000000000000
267,267,8,222852.645629882812500,632555.088867187500000,745.000000000000000
268,268,10,222865.064941406250000,632555.088867187500000,746.000000000000000
269,269,12,222877.484130859375000,632555.088867187500000,747.000000000000000
